,CODIGO_CAT,AREA_OPERATIVA,NOMBRE,TIPO,CLASE,CATEG,ESTADO_CAT,CORRIENTE,DEPTO,MPIO,LATITUD,LONGITUD,ALTITUD,FECHA_INST,FECHA_SUSP,ID_STZ_SCADA,DCP_ADDRESS,ESTADO2,TRANSMISION,SINIESTRO,VECINO,D_VECINO,VECINO_CORREINTE,D_VECINO_CORRIENTE,TAir2m,TAir10cm,TS10cm,TS30cm,TS50cm,HRAire2m,HRAire10cm,HRSueloCorto,HRSueloMedio,HRSueloLargo,RadG,RadV,Evap,PresAtm,VelVi,DirVi,Prcptcn,Nvl,PROPIETARIO,FECHA_REVISION,LAST_DATE,ON_LINE,SERVIDOR,GananciaAntena,AlertaGananciaAntenaBajando,NOAA_INMARSAT,CorrelaTempAire2m,EstadoTempAire2m,TempAire2m,CorrelaTempAire10cm,EstadoTempAire10cm,TempAire10cm,CorrelaTempS20,TempS20,EstadTempS20,CorrelaTempS50,TempS50,EstadoTempS50,CorrelaTempS100,TempS100,EstadoTempS100,EstadoHumAire2m,CorrelaHumAire2m,HumAire2m,EstadoHumAire10cm,CorrelaHumAire10cm,HumAire10cm,CorrelaHumaS20,EstadoHumaS20,HumaS20,HumaS30,CorrelaHumaS30,EstadoHumaS30,CorrelaHumaS100,HumaS100,EstadoHumaS100,CorrelaRadiacionG,EstadoRadicionG,RadGlobal,CorrelaRadiacionV,EstadoRadiacionV,RadVisible,CorrelaEvaporacion,EstadoEvaporacion,Evaporacion,CorreralPresionAtm,EstadoPresionAtm,PresionAtmosferica,EstadoVelViento,VelViento,CorrelaVelViento,EstadoDirViento,CorrelaDirViento,DirViento,EstadoPluvio,CorrelaPrecipitacion,Precipitacion,CorrelaNivel,EstadoNivel,Nivel,EstBateria,Bateria
0,11017020,1,PR CHOCO: BAGADO,AUT ,HID ,,ACT ,Río Andágueda,Chocó,Bagadó,5.412,-76.41788889,90.0,,,1657,CB113506,0,INMARSAT,0.0,11027050,16.406412956653167,-1,99999,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:20.241957,2019-07-29 08:00:00.000000,OFF_LINE,HYDRAS,,,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATOS_ANOMALOS_FUERA_DE_RANGO DISPO 0.00%,,13107.2,,OK DISPO 100.00%,2.4,BATERIA_BAJA,11.5
1,11027030,1,SIETE EL,AUT,HID,,ACT,Alto Atrato,Chocó,El Carmen (Choco),5.862,-76.1520556,2300.0,,,267,-1,0,INMARSAT,0.0,26197020,24.3389378058497,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:31:21.604438,2019-08-30 13:10:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 99.90%,,0.0,,OK DISPO 100.00%,1.5,OK,12.8
2,11027050,1,GINDRAMA [11027050],AUT,HID,,ACT,,CHOCO,LLORO,5.52155556,-76.51772222,71.0,,,1131,,0,GOES,0.0,11027070,6.469472179315052,26197020,73,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,2019-08-30 13:31:23.253017,2019-08-30 12:00:00.000000,ON_LINE,SCADA,-1.0,,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUSER DISPO 0.00%,,,,OK DISPO 100.00%,2.1,OK,12.7
3,11027070,1,BORAUDO,AUT,HID,LG,ACT,ATRATO,CHOCO,LLORO,5.51461111,-76.575694444,78.0,2019-05-20 00:00:00.000000,,1136,CB118688,0,GOES,0.0,1117500060,0.019690356491586247,11047040,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,IDEAM,2019-08-30 13:31:25.555809,2019-08-30 12:00:00.000000,ON_LINE,SCADA,49.0,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,0.7,OK,13.0
4,11030010,9,PR CHOCO: CERTEGUI ,AUT ,MET ,,ACT ,Río Quito,Chocó,Cértegui,5.37502778,-76.61311111,72.0,,,1664,CB11D6F4,0,INMARSAT,0.0,11175000,0.9714540586107029,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:28.898311,2019-08-30 12:30:00.000000,ON_LINE,SCADA,38.0,,OK,,OK DISPO 100.00%,26.9,,,,,,,,,,,,,OK DISPO 100.00%,,93.0,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,1005.2,OK DISPO 99.50%,1.0,,OK DISPO 99.50%,,185.0,OK DISPO 99.50%,,0.2,,,,OK,12.8
5,11035030,1,PR CHOCO: UNION PANAMERICANA,AUT ,MET ,,ACT ,Río Quito,Chocó,Unión Panamericana ( Animas),5.28482778,-76.62782222,110.0,,,1659,CB123208,0,INMARSAT,0.0,54017040,7.535652322052055,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:33.119443,2019-08-30 12:30:00.000000,ON_LINE,SCADA,40.0,,OK,,OK DISPO 100.00%,26.6,,,,,,,,,,,,,DATOS_ANOMALOS_FUERA_DE_RANGO DISPO 100.00%,,221.1,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,999.3,OK DISPO 99.50%,1.2,,OK DISPO 99.50%,,191.3,DATOS_ANOMALOS_FUERA_DE_RANGO DISPO 99.50%,,580.8,,,,OK,12.7
6,11037030,1,LA LOMA PUEBLO ,AUT,HMT,LG,ACT,QUITO,CHOCO,RIO QUITO (PaimadO),5.58466666666667,-76.7532777777778,72.0,2005-04-15 00:00:00.000000,,-1,CB15234A,SINIESTRO,GOES,1.0,11047040,16.085053240609184,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,2019-08-30 13:31:33.120439,,SINIESTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11045010,1,PR CHOCO: APTO EL CARANO,AUT ,MET ,,ACT ,Río Cabi,Chocó,Quibdó,5.69055556,-76.64377778,75.0,,,1673,CB1641A2,0,INMARSAT,0.0,11047040,2.206147545680415,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:37.765305,2019-08-30 12:40:00.000000,ON_LINE,SCADA,42.0,,OK,,OK DISPO 100.00%,26.9,,,,,,,,,,,,,OK DISPO 100.00%,,90.0,,,,,,,,,,,,,,OK DISPO 100.00%,175.6,,,,,,,,OK DISPO 100.00%,1003.8,OK DISPO 99.60%,1.6,,OK DISPO 99.60%,,190.7,OK DISPO 99.60%,,0.8,,,,OK,12.8
8,11047010,1,BELEN,AUT,HID,LG,ACT,ATRATO,CHOCO,QUIBDO,5.7648333,-76.669666667,26.0,2019-05-22 00:00:00.000000,,1138,CB11760C,0,GOES,0.0,11047040,7.437115578934494,11047040,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,IDEAM,2019-08-30 13:31:39.690209,2019-08-30 12:00:00.000000,ON_LINE,SCADA,51.0,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,5.6,OK,13.0
9,11047040,1,QUIBDO AUTOMATICA ,AUT,HMT,LG,ACT,ATRATO,CHOCO,QUIBDO,5.69799166666667,-76.6622583333333,307.0,2008-11-30 00:00:00.000000,1970-01-01 00:00:00.000000,171,-1,0,INMARSAT,0.0,11045010,2.206147545680415,11047010,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,2019-08-30 13:31:40.989631,2019-08-30 13:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 99.80%,,0.2,,OK DISPO 100.00%,2.7,FALLA:EN_CARGA,12.8
10,11050020,1,PR CHOCO: BETE ,AUT ,MET ,,ACT ,Río Atrato,Chocó,Medio Atrato (Beté),5.99472222,-76.78002778,25.0,,,1665,CB15E654,0,INMARSAT,0.0,11047010,28.207419927414982,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:46.342221,2019-08-30 12:40:00.000000,ON_LINE,SCADA,40.0,,OK,,OK DISPO 100.00%,27.1,,,,,,,,,,,,,OK DISPO 100.00%,,93.3,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,1007.2,OK DISPO 99.30%,1.3,,OK DISPO 99.30%,,197.6,OK DISPO 99.60%,,0.2,,,,OK,12.8
11,11057020,1,SAN ANTONIO PADUA,AUT,HID,,ACT,Directos Atrato entre ríos Bebaramá y Murrí (md),Antioquia,Vigia Del Fuerte,6.28666667,-76.7618056,18.0,,,34,-1,0,INMARSAT,0.0,11050020,32.34819540696787,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:31:47.919879,2019-08-30 13:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROBABLE_TAPONAMIENTO DISPO 99.80%,,0.0,,OK DISPO 100.00%,5.7,OK,12.8
12,11077020,1,MAGDALENA LA,AUT,HID,,ACT,Río Murrí,Antioquia,Urrao,6.29836111,-76.1344722,1770.0,,,254,-1,0,INMARSAT,0.0,26217050,37.300139772441355,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:31:49.441791,2019-08-30 13:10:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 99.90%,,0.0,,OK DISPO 100.00%,0.7,OK,12.8
13,11080010,1,PR CHOCO: BELLAVISTA,AUT ,MET ,,ACT ,Atrato - Darién,Chocó,Bojayá (Bellavista),6.55916667,-76.88541667,15.0,,,1652,CB15C0B8,0,INMARSAT,0.0,11057020,33.09270605803537,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:31:54.046147,2019-08-30 12:40:00.000000,ON_LINE,SCADA,39.0,,OK,,OK DISPO 100.00%,27.1,,,,,,,,,,,,,OK DISPO 100.00%,,90.7,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,1008.6,OK DISPO 99.60%,1.0,,OK DISPO 99.60%,,190.4,OK DISPO 99.60%,,0.3,,,,OK,12.8
14,11105020,1,PR CHOCO: CARMEN DEL DARIEN,AUT ,MET ,,ACT ,Río Sucio,Chocó,Carmen Del Darién  (Curbaradó),7.15433333,-76.97719444,,,,1655,CB1257EE,0,INMARSAT,0.0,11120040,35.02427524177204,11117040,60,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:32:05.836623,2019-07-29 07:30:00.000000,OFF_LINE,HYDRAS,,,DESCONOCIDO,,OK DISPO 0.00%,27.0,,,,,28.4,OK DISPO 0.00%,,41.5,OK DISPO 0.00%,,13.3,OK DISPO 0.00%,OK DISPO 0.00%,,92.9,,,,,OK DISPO 0.00%,0.0,1.0,,OK DISPO 0.00%,,1.0,OK DISPO 0.00%,,OK DISPO 0.00%,10106.0,,OK DISPO 0.00%,0.0,,OK DISPO 0.00%,11.0,,OK DISPO 0.00%,1009.8,OK DISPO 0.00%,1.4,,OK DISPO 0.00%,,174.3,OK DISPO 0.00%,,0.3,,,,OK,12.8
15,11115020,1,CANASGORDAS,AUT,MET,,ACT,Río Sucio,Antioquia,Cañasgordas,6.75802778,-76.0296667,1294.0,,,35,-1,0,INMARSAT,0.0,1111500036,14.206914307757016,11117050,38,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:32:08.577276,2019-08-30 04:40:00.000000,ON_LINE,SCADA,,,,,OK DISPO 95.21%,21.8,,,,,,,,,,,,,OK DISPO 95.21%,,81.7,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 95.21%,872.5,OK DISPO 94.84%,1.7,,OK DISPO 94.84%,,198.1,OK DISPO 94.84%,,0.0,,,,FALLA:EN_CARGA,12.7
16,11117040,1,MUTATA,AUT,HID,,ACT,Río Sucio,Antioquia,Mutatá,7.22944444,-76.4380556,132.0,,,305,-1,0,INMARSAT,0.0,11117050,31.29039947163453,11117050,31,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:32:10.525070,2019-08-30 13:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 99.80%,,0.0,,OK DISPO 100.00%,2.3,OK,12.8
17,11117050,1,DABEIBA 2,AUT,HID,,ACT,Río Sucio,Antioquia,Dabeiba,7.00438889,-76.2663889,650.0,,,256,-1,0,INMARSAT,0.0,11117040,31.29039947163453,11117040,31,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,2019-08-30 13:32:12.068166,2019-08-30 13:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROBABLE_TAPONAMIENTO DISPO 99.80%,,0.0,,OK DISPO 100.00%,1.9,OK,12.9
18,11120040,1,PR CHOCO: RIOSUCIO,AUT ,MET ,,ACT ,Río Sucio,Chocó,Riosucio (Choco),7.43944444,-77.11527778,8.0,,,1668,CB12217E,0,INMARSAT,0.0,11105020,35.02427524177204,11117040,78,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,2019-08-30 13:32:16.887154,2019-08-27 02:30:00.000000,OFF_LINE,HYDRAS,0.0,,FUSER,,INTERMITENTE DISPO 2.40%,27.7,,,,,,,,,,,,,INTERMITENTE DISPO 2.40%,,85.5,,,,,,,,,,,,,,,,,,,,,,,INTERMITENTE DISPO 2.40%,1012.6,INTERMITENTE DISPO 2.38%,1.4,,INTERMITENTE DISPO 2.38%,,184.1,OK DISPO 2.38%,,0.0,,,,OK,12.8
19,11135030,1,UNGUIA,AUT,MET,CP,ACT,CGA. UNGUIA,CHOCO,UNGUIA,8.03672222222222,-77.0878611111111,74.0,2005-09-24 00:00:00.000000,,223,-1,SINIESTRO,INMARSAT,1.0,12025040,41.402646164270436,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,2019-08-30 13:32:16.888123,,SINIESTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
